raisedhands,VisitedResources,AnnouncementsView,Discussion,Class
15,16,2,20,M
20,20,3,25,M
10,7,0,30,L
30,25,5,35,L
40,50,12,50,M
42,30,13,70,M
35,12,0,17,L
50,10,15,22,M
12,21,16,50,M
70,80,25,70,M
50,88,30,80,H
19,6,19,12,M
5,1,0,11,L
20,14,12,19,L
62,70,44,60,H
30,40,22,66,M
36,30,20,80,M
55,13,35,90,M
69,15,36,96,M
70,50,40,99,H
60,60,33,90,M
10,12,4,80,M
15,21,2,90,M
2,0,2,50,L
0,2,3,70,L
8,7,30,40,L
19,19,25,40,M
25,15,12,33,L
75,85,52,43,M
30,90,33,35,M
35,80,50,70,H
4,5,40,16,L
2,19,10,50,L
8,22,9,40,L
12,11,8,40,L
10,12,17,30,L
8,6,4,22,L
45,54,26,90,M
0,0,0,4,L
50,90,37,70,M
14,13,3,70,L
19,20,16,50,M
10,12,7,33,L
30,35,28,90,M
33,33,30,90,M
20,12,15,70,L
7,10,1,30,L
70,4,39,90,H
13,80,40,88,H
29,39,50,77,M
20,14,12,70,L
39,15,16,50,L
55,90,16,40,M
49,70,19,75,H
12,50,8,30,L
16,14,6,20,L
19,5,4,1,L
5,2,6,5,L
28,60,19,50,M
27,22,22,40,M
21,10,28,20,L
50,70,32,40,M
80,90,70,80,H
17,13,16,12,M
0,5,7,2,L
13,5,18,19,L
25,10,19,30,M
65,75,23,80,H
70,69,35,30,H
39,40,11,33,M
22,30,10,12,L
29,22,9,20,M
11,2,2,8,L
19,30,26,19,M
12,0,6,13,L
50,90,29,60,M
15,70,37,44,M
20,80,33,33,M
13,3,11,9,L
80,90,49,55,H
8,15,10,40,L
8,25,1,70,L
7,5,2,80,L
7,4,10,50,M
50,70,50,10,H
1,0,1,12,L
70,12,40,50,H
19,70,3,50,L
3,12,4,33,L
5,20,1,50,L
4,8,10,60,L
80,90,55,19,H
50,70,19,15,H
55,89,40,40,H
80,44,35,10,L
100,80,2,70,H
14,60,11,75,H
6,2,38,12,M
10,3,0,30,M
50,7,9,50,M
50,90,40,90,M
70,92,50,7,H
2,6,2,8,L
1,7,6,10,L
0,12,3,3,M
0,0,5,80,L
12,26,7,40,M
70,90,41,33,H
7,12,5,3,M
90,70,30,14,M
70,88,55,40,H
77,80,51,80,M
2,5,3,50,L
25,27,0,69,L
11,2,0,50,L
0,8,11,70,L
77,80,12,19,M
25,29,40,17,H
24,35,23,22,M
60,60,3,60,M
21,12,0,50,M
0,4,8,30,L
66,90,55,12,M
70,98,7,5,M
0,6,4,15,L
12,30,0,17,L
2,9,7,55,M
55,33,6,9,L
12,10,20,16,L
70,90,2,2,L
7,9,5,30,L
80,42,20,50,M
0,3,10,3,L
12,60,0,70,L
80,80,15,70,H
70,80,95,70,H
70,80,95,70,H
60,80,50,40,M
100,80,95,90,H
100,85,85,70,M
10,60,5,20,L
19,65,50,10,L
10,75,55,11,M
80,90,55,19,H
10,10,15,19,L
70,75,55,11,M
100,75,50,70,H
10,79,30,30,M
60,55,30,40,M
100,75,50,70,H
80,80,51,59,H
23,63,71,89,M
100,91,98,40,H
10,51,40,40,L
70,50,33,41,M
70,58,73,91,H
70,50,30,49,M
70,50,33,40,M
22,51,48,10,L
62,68,48,80,M
82,89,58,50,H
72,80,58,66,M
70,82,3,73,H
60,82,93,43,M
55,72,83,14,M
72,65,73,66,H
51,82,53,43,M
80,92,83,43,H
60,52,23,33,H
30,12,29,23,M
40,62,83,33,H
60,52,23,33,M
20,22,53,13,L
20,52,23,33,L
50,62,73,43,M
10,2,13,53,L
60,52,23,33,H
15,52,83,11,M
80,42,33,13,H
40,51,20,33,M
60,70,63,93,H
50,62,13,33,L
85,75,62,53,H
25,15,32,53,M
10,35,30,13,L
87,65,82,33,H
85,15,22,53,M
80,71,52,51,M
75,71,72,53,H
85,66,12,23,M
23,25,32,53,L
15,25,37,13,L
95,91,62,53,M
81,75,62,53,M
53,75,72,23,M
15,43,42,33,M
92,65,62,53,H
83,75,62,53,H
27,15,42,53,L
45,95,12,13,M
15,90,52,83,H
45,58,52,43,H
25,5,12,33,M
22,51,42,40,M
29,10,12,24,L
72,51,42,24,H
67,31,42,14,M
17,21,42,14,M
27,41,49,14,M
70,81,39,84,M
27,90,82,14,H
17,61,42,14,M
87,81,42,19,H
7,61,22,14,L
17,50,2,4,L
5,21,42,14,L
27,41,32,61,M
87,88,40,10,M
96,61,42,94,H
57,51,46,34,M
77,69,41,13,M
80,51,40,24,M
62,61,82,40,M
72,83,12,90,H
87,81,22,70,H
72,90,12,30,M
2,11,62,30,L
5,3,2,10,L
73,84,77,81,H
5,17,21,10,L
51,42,12,29,M
9,7,21,20,L
19,72,15,50,M
32,80,58,46,M
32,60,58,66,M
12,8,18,26,L
52,10,13,6,L
72,80,58,66,M
72,80,58,66,M
92,80,88,76,H
72,80,98,96,H
72,80,58,86,M
22,20,18,6,L
12,20,38,46,M
70,92,83,85,H
50,40,52,66,M
80,94,62,77,H
87,48,82,96,M
70,40,2,16,L
65,86,62,40,M
15,6,32,40,H
19,74,32,17,L
69,76,82,94,M
39,26,12,44,L
59,97,42,70,H
10,17,12,40,H
80,87,72,60,H
70,99,66,65,M
80,97,86,95,M
69,34,12,17,L
10,17,12,14,L
61,97,82,64,M
21,27,52,34,M
49,94,42,7,M
70,64,42,32,M
79,84,82,37,H
19,80,12,17,M
11,70,32,29,M
10,8,10,10,M
18,28,40,20,M
90,84,52,30,H
92,81,32,36,M
42,21,2,16,M
